Which eukaryotic organelle is responsible for producing the majority of the cell's ATP via oxidative phosphorylation?,The mitochondrion.
Mitochondria consume $O_{2}$ and release $CO_{2}$ to extract energy from food in a process known as _____.,Cell respiration.
Identify the four distinct functional compartments of a mitochondrion.,"The outer membrane, the inner membrane, the intermembrane space, and the matrix."
What is the name of the highly convoluted folds found in the inner mitochondrial membrane?,Cristae.
Which mitochondrial compartment contains a highly concentrated mixture of enzymes for the citric acid cycle?,The matrix.
The mitochondrial outer membrane contains channel-forming proteins called _____ that allow molecules of 5000 daltons or less to pass through.,Porins.
Where are the proteins of the electron-transport chain and ATP synthase located within the mitochondrion?,In the inner mitochondrial membrane.
Which theory suggests that mitochondria originated from bacteria that were engulfed by ancestral eukaryotic cells?,The endosymbiotic theory.
"The process by which mitochondria divide, similar to bacterial division, is called _____.",Fission.
"The process where mitochondria join together to form elongated, tubular networks is called _____.",Fusion.
Why do heart muscle mitochondria have a higher density of cristae than skin cell mitochondria?,To provide a larger surface area for oxidative phosphorylation to meet higher ATP demands.
"In a sperm cell, where are the mitochondria specifically localized to power movement?",Wrapped tightly around the flagellar core in the tail.
Mitochondria are often distributed throughout the cell by being propelled along _____ tracks.,Microtubule.
How does the net ATP yield of mitochondrial respiration compare to that of cytosolic glycolysis per glucose molecule?,"Respiration produces about 30 molecules of ATP, while glycolysis alone produces only two."
Which ion do mitochondria buffer to play a role in intracellular signalling and muscle contraction?,Calcium ($Ca^{2+}$).
"Which protein, released from the intermembrane space, triggers the proteolytic cascade leading to apoptosis?",Cytochrome $c$.
The human mitochondrial genome consists of a double-stranded _____ DNA molecule.,Circular.
Approximately how many base pairs are contained in the human mitochondrial genome?,"16,569 base pairs."
How many protein-coding genes are found in the human mitochondrial genome?,13 protein-coding genes.
"The mitochondrial genome encodes 13 polypeptides, 2 ribosomal RNAs (rRNAs), and _____ transfer RNAs (tRNAs).",22.
"Unlike nuclear genes, mitochondrial DNA genes are characterized by a lack of _____.",Introns.
"In humans, mitochondrial DNA is inherited exclusively through the _____ line.",Maternal.
What is the primary reason why sperm mitochondria do not typically contribute to the offspring's genome?,Sperm contain few mitochondria and they are degraded or not incorporated into the embryo.
The presence of a mixture of mutant and normal mitochondrial DNA within a single cell is termed _____.,Heteroplasmy.
What is the 'threshold level' in the context of mitochondrial diseases?,The minimum ATP level required by a tissue below which cells begin to degenerate.
Why is the mutation rate of mitochondrial DNA roughly 10 times higher than that of nuclear DNA?,Due to a lack of repair mechanisms and damage from free oxygen radicals.
What does the acronym MERRF stand for in medical genetics?,Myoclonic epilepsy and ragged red fibre disease.
What does the acronym LHON stand for in medical genetics?,Leber hereditary optic neuropathy.
What does the acronym MELAS stand for in medical genetics?,"Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes."
LHON is a mitochondrial disease primarily characterized by the rapid loss of _____.,Vision in the central visual field.
MERRF and MELAS show highly variable expression in families because they are typically _____.,Heteroplasmic.
Which common endocrine disorder is associated with the MELAS mutation in 1% to 2% of cases?,Type 2 diabetes mellitus.
Kearns–Sayre disease is a mitochondrial disorder caused by large-scale _____ and duplications in the mtDNA.,Deletions.
Pearson syndrome is a mitochondrial disorder characterized by lactic acidosis and infantile _____ insufficiency.,Pancreatic.
Approximately how many nuclear genes encode proteins that are imported into the mitochondria?,About 1000 genes.
What is the function of the mitochondrial D-loop region?,It serves as the site for the origin of replication and transcription.
Which protein complexes are responsible for importing nuclear-encoded proteins across the mitochondrial membranes?,TOM and TIM translocases.
Disorders of mitochondrial fatty acid oxidation are usually inherited in an _____ recessive pattern.,Autosomal.
Mitochondrial inheritance is a form of non-Mendelian inheritance also known as _____ inheritance.,Cytoplasmic.
The random distribution of mitochondria to daughter cells during cell division is called _____ segregation.,Mitotic.
Term: Mitochondrial Replacement Therapy,Definition: A technique to prevent transmission of mtDNA defects by transferring a nucleus into a donor egg with healthy mitochondria.
"In genetics, the phenomenon where a disease has an earlier age-of-onset in subsequent generations is called _____.",Anticipation.
Mitochondria play a central role in the biosynthesis of iron–_____ clusters and haem.,Sulphur.
The narrow tubes that connect the cristae to the inner boundary membrane are called _____ junctions.,Crista.
The part of the inner mitochondrial membrane that runs parallel to the outer membrane is the _____ membrane.,Inner boundary.
Which high-energy electron carriers provide electrons to the mitochondrial electron-transport chain?,$NADH$ and $FADH_{2}$.
What established the proton gradient used to drive ATP synthesis in mitochondria?,The pumping of protons across the inner membrane coupled to electron transport.
Which mitochondrial compartment has a pH and ionic composition similar to the cytosol due to porins?,The intermembrane space.
Why is the central nervous system frequently affected by mitochondrial diseases?,Because it has high energy requirements and consumes about 20% of the body's ATP.
What is the typical shape of mitochondria as seen in fluorescence microscopy?,Worm-shaped structures or branching networks.
Mitochondria can occupy up to _____% of the cytoplasmic volume in a eukaryotic cell.,20%.
Term: CPEO,"Definition: Chronic progressive external ophthalmoplegia, a mitochondrial disease causing weakness of eye muscles."
The human mitochondrial genome encodes two types of _____ RNA required for mitochondrial protein synthesis.,Ribosomal.
"In yeast, mitochondrial inheritance can be _____ during mating, unlike the uniparental inheritance in humans.",Biparental.
Mitochondria often associate with which organelle to facilitate the exchange of lipids and $Ca^{2+}$?,The endoplasmic reticulum (ER).
Concept: Reactive Oxygen Species (ROS),"Definition: Chemically reactive molecules containing oxygen, like $H_{2}O_{2}$, produced as byproducts of oxidative phosphorylation."
The theory that mtDNA mutations accumulate over time and contribute to the _____ process is a common biological hypothesis.,Ageing.
Which mitochondrial enzyme directly synthesises ATP using the energy from a proton gradient?,ATP synthase.
"The mitochondrial matrix contains hundreds of enzymes, including those for the oxidation of _____ and fatty acids.",Pyruvate.
How does the size of a human mitochondrial genome compare to the human nuclear genome?,"The mitochondrial genome is much smaller, with only 16,569 bp compared to 3 billion bp in the nucleus."
The high degree of phenotypic variability in mitochondrial diseases is primarily attributed to _____.,Heteroplasmy.
Most mitochondrial proteins are translated on _____ ribosomes before being imported into the organelle.,Cytoplasmic.
Mitochondria provide the _____ single-carbon units required for purine and pyrimidine biosynthesis.,Single.
Which mitochondrial membrane is freely permeable to ions and small molecules up to 5000 daltons?,The outer mitochondrial membrane.
Transcription of mitochondrial DNA takes place in the _____.,Mitochondrion.